truevalue,estimate,dem,ev,year,month
232.3071409,280.0416667,57,-0.143809964,2016,3
15.67100818,12.95833333,300,0.049379756,2016,8
14.67339168,12.83333333,28,-0.044715596,2016,12
25.8635468,16.82608696,744,-0.050279932,2016,11
22.10435537,19.83333333,54,0.057373612,2016,2
18.05655847,14,54,0.057373612,2016,5
41.75646412,34,25,-0.130106123,2016,4
369.0314791,406.7916667,25,-0.060013471,2016,1
25.14004564,30.13043478,21,0.140187121,2016,11
6.917221154,7.043478261,46,0.100533762,2016,3
76.56314989,81.21052632,18,0.136162981,2016,7
11.53302019,16.45833333,344,-0.040623869,2016,3
13.092783,17.85714286,33,0.062590369,2016,7
85.71650235,93.625,1,0.149361688,2016,2
78.13822711,73.33333333,82,-0.17724461,2016,2
212.4137681,257.7083333,41,0.094718102,2016,6
31.9915007,35.79166667,61,-0.14711937,2016,7
65.94435977,81.29166667,9,0.025770844,2016,3
39.36133594,34.79166667,318,-0.036487958,2016,5
34.86631052,25.375,0,0.123869952,2016,1
76.45534196,104.9130435,2,0.127586656,2016,8
34.39901545,25.95454545,8,-0.047144013,2016,8
92.98549554,100.0833333,69,-0.180453342,2016,2
60.84909212,61.45454545,16,0.139928563,2016,11
12.66579175,10.45454545,318,-0.036487958,2016,9
86.68419732,87,13,-0.049332921,2016,3
51.88388739,55.54545455,357,-0.180888769,2016,8
14.72128655,11.5,25,-0.060013471,2016,12
66.14433524,66.25,33,0.084475926,2016,5
125.7360881,98.54166667,726,-0.049464726,2016,9
35.41715004,52.45833333,66,0.07998897,2016,3
22.64328459,24.29166667,27,0.067314271,2016,11
87.1517474,94.30434783,82,-0.17724461,2016,5
271.3822969,270.3478261,75,-0.177883862,2016,2
69.39924043,79.23809524,33,0.084475926,2016,11
39.84560276,40.95652174,318,-0.036487958,2016,4
72.58113991,62.125,52,0.082163263,2016,7
20.26249889,21.5,33,0.084475926,2016,8
35.18255956,35.29166667,318,-0.036487958,2016,12
82.07135638,65.66666667,10,0.122026532,2016,3
110.2542097,143.4583333,18,0.136162981,2016,5
23.53645128,26.25,18,0.136162981,2016,6
16.86302268,16.75,726,-0.049464726,2016,10
24.31848239,25.83333333,0,0.123869952,2016,11
115.6992158,116,60,-0.147037803,2016,3
47.29153523,47.375,10,0.122026532,2016,2
13.7924333,27.91666667,21,0.140187121,2016,1
33.2596665,29.18181818,8,-0.047144013,2016,12
23.28514142,30,2,0.144980798,2016,6
94.38720429,92.08333333,357,-0.180888769,2016,6
39.99955855,41,76,-0.172777826,2016,10
13.91533161,14.16666667,300,0.049379756,2016,8
135.7064041,119.0416667,68,-0.179888654,2016,9
24.6395011,26.5,13,-0.049332921,2016,7
29.70764489,27.625,16,0.139928563,2016,12
21.36577304,16.54166667,336,-0.039659049,2016,9
36.46502907,25.13043478,21,0.140187121,2016,10
40.98002501,31.86956522,23,-0.129274298,2016,3
45.26588686,34.73913043,31,0.072374424,2016,1
219.3299299,223.8333333,9,0.146134461,2016,9
26.59386339,27.40909091,788,-0.050984032,2016,2
27.94525541,19.625,27,0.067314271,2016,3
21.16013029,18.83333333,26,0.070851475,2016,11
57.1360037,52.25,1,0.149361688,2016,4
51.45501658,32.66666667,76,-0.172777826,2016,5
33.57510885,28.91666667,80,-0.176214204,2016,2
70.86880538,92.81818182,2,0.144980798,2016,3
52.87988949,40.5,66,0.07998897,2016,11
21.76757924,102,69,-0.180453342,2016,12
40.80012032,42.29166667,27,0.067314271,2016,10
61.53487565,75.75,9,0.146880305,2016,8
257.9364459,295.2916667,80,-0.176214204,2016,5
104.4158267,125.5217391,9,0.146880305,2016,3
73.22722407,80,41,0.087615208,2016,2
45.54361826,52.83333333,18,0.136162981,2016,4
96.92446513,126.125,347,-0.037467693,2016,6
11.585667,12.91666667,52,0.082163263,2016,9
21.22508141,23.70833333,18,0.136162981,2016,12
73.53205751,75.125,13,-0.049332921,2016,3
48.08875383,54.81818182,57,-0.143809964,2016,9
129.3069071,148.3809524,46,0.095873457,2016,5
61.99208938,61.20833333,9,0.146134461,2016,10
117.9868321,100.125,46,0.095873457,2016,6
27.38922316,24,27,0.068097112,2016,11
135.0632896,132.6666667,80,-0.176214204,2016,4
27.48444228,32.79166667,788,-0.050984032,2016,5
30.8259778,25.71428571,10,0.02320939,2016,5
156.1557652,193.625,66,0.07998897,2016,8
107.7128789,92.23529412,10,0.122026532,2016,6
77.15008201,85.16666667,79,-0.178420661,2016,9
30.50229538,37.5,336,-0.039659049,2016,4
83.77479406,77.04761905,59,-0.147033209,2016,3
16.17436237,17.13043478,52,0.082163263,2016,5
56.57573278,50.375,19,-0.052312465,2016,12
41.08758556,44.25,27,-0.134536502,2016,3
25.25235416,28.08695652,9,0.025348898,2016,3
40.19230788,55.625,759,-0.050850333,2016,6
19.65276762,13.11111111,788,-0.050984032,2016,2
112.5044753,106.2083333,46,0.100533762,2016,2
31.50483224,36.95238095,7,0.144086546,2016,11
17.7979279,23.34782609,788,-0.050984032,2016,8
60.84965514,45.20833333,61,-0.14711937,2016,6
57.10547551,45.73684211,66,-0.176200755,2016,10
48.58470986,44,9,0.146134461,2016,2
57.54187911,42.27272727,7,0.144086546,2016,12
21.38933705,23.5,33,0.062590369,2016,3
112.5061845,102.2105263,46,0.095873457,2016,2
108.0019064,120.7727273,8,-0.047144013,2016,7
34.797718,36.52380952,759,-0.050850333,2016,9
194.6350812,191.9166667,9,0.146134461,2016,1
34.77302939,40.17391304,759,-0.050850333,2016,1
120.6908687,134.75,9,0.025770844,2016,3
86.38555993,78.83333333,75,-0.179730082,2016,12
72.3446188,89.08695652,57,-0.143809964,2016,11
12.18913404,10.33333333,25,-0.060013471,2016,4
80.8649226,74.91304348,55,0.089804247,2016,3
34.5157005,43.91666667,41,0.094718102,2016,11
30.17981676,30.71428571,27,0.067314271,2016,12
64.51988201,80.375,2,0.127586656,2016,1
13.12341003,14.16666667,347,-0.037467693,2016,1
34.40481167,41.83333333,3,0.152045335,2016,12
23.75796776,28.91304348,816,-0.051549123,2016,3
95.27813234,92.20833333,59,-0.147033209,2016,4
27.82720527,8.090909091,8,-0.047144013,2016,6
14.36645176,23.95833333,744,-0.050279932,2016,5
127.8407008,157.9545455,64,-0.17842712,2016,11
13.34758214,12.91666667,347,-0.037467693,2016,6
85.33119668,84.83333333,387,-0.036219,2016,4
28.15165854,20.20833333,344,-0.040623869,2016,1
76.40005947,77.61904762,25,-0.060013471,2016,6
202.9471049,225.9583333,46,0.095873457,2016,8
122.0824464,106.2083333,59,-0.147033209,2016,1
30.14449685,24.86956522,7,0.150130969,2016,9
192.0855555,197.6666667,23,-0.056201966,2016,1
41.59281068,36.45833333,57,-0.143809964,2016,6
50.09162394,67.15789474,76,-0.172777826,2016,7
53.19121503,55.41666667,27,-0.134536502,2016,1
36.58474234,33.45833333,357,-0.180888769,2016,3
34.41774775,34.29166667,23,-0.061979362,2016,9
259.7628735,231.0454545,68,-0.179888654,2016,6
100.9720111,97.875,19,-0.052312465,2016,2
25.58641107,19.5,726,-0.049464726,2016,3
18.74699476,7.739130435,18,-0.053366587,2016,5
32.10966535,26.08333333,9,0.146134461,2016,8
17.86803476,38.47826087,66,0.07998897,2016,11
29.74195994,26.59090909,7,0.144086546,2016,6
50.19030863,39,66,0.07998897,2016,12
97.57811986,81.16666667,61,-0.14711937,2016,8
53.30510997,49.29166667,33,0.062590369,2016,4
10.92556127,14,41,0.094718102,2016,6
14.72836878,24.125,3,0.152045335,2016,4
85.87002018,122.1428571,76,-0.172777826,2016,1
57.51809127,50.04347826,57,-0.143809964,2016,5
24.73462629,29.52380952,13,-0.049332921,2016,4
75.1664509,72.79166667,41,0.087615208,2016,2
71.20877512,64.7,9,0.025348898,2016,2
34.10637595,33.05263158,318,-0.036487958,2016,1
99.17484355,104.2916667,9,0.025770844,2016,2
32.41806781,42.75,9,0.146134461,2016,9
160.4774663,176.1428571,69,-0.180453342,2016,10
95.90016175,100.0833333,61,-0.14711937,2016,9
38.9542202,44.75,744,-0.050279932,2016,12
36.75014389,42.95833333,23,-0.061979362,2016,4
42.95228125,38.66666667,10,0.02320939,2016,1
13.7393587,20.52380952,744,-0.050279932,2016,12
71.81287376,75.91304348,2,0.127586656,2016,5
35.0672501,49.90909091,21,0.140187121,2016,11
29.54200387,28.18181818,68,-0.179888654,2016,4
138.1549156,162.5652174,7,0.144086546,2016,8
73.39882898,84.29166667,18,0.136162981,2016,4
69.47497964,80.25,57,-0.143809964,2016,4
52.02259147,50.13043478,46,0.100533762,2016,1
80.47493107,86.75,41,0.087615208,2016,4
136.5144856,110.3333333,25,-0.060013471,2016,9
51.91374648,50.95833333,357,-0.180888769,2016,9
53.47212065,50.16666667,41,0.087615208,2016,6
63.58748128,69.82608696,8,-0.047144013,2016,5
57.16279208,55.04347826,66,-0.176200755,2016,3
53.6255387,53.39130435,41,0.094718102,2016,5
32.17534451,35.52173913,744,-0.050279932,2016,9
33.54972847,30.13636364,3,0.152045335,2016,4
60.66161817,105.7916667,75,-0.179730082,2016,5
50.80860826,52.85,9,-0.049215776,2016,9
194.6381183,195.625,16,0.139928563,2016,2
64.6146945,56.41666667,7,0.144086546,2016,12
8.057371903,7.083333333,41,0.094718102,2016,12
120.3359904,126.5882353,59,-0.147033209,2016,7
35.28433308,24.04545455,347,-0.037467693,2016,11
105.979348,137.6363636,33,0.062590369,2016,8
44.77404375,60.17391304,21,0.067032699,2016,7
103.4698948,99.91666667,33,0.062590369,2016,8
13.32694631,25.29166667,18,0.136162981,2016,1
25.23184139,22,4,0.144256895,2016,3
58.0128817,49.95833333,80,-0.176214204,2016,4
19.67835137,13.13043478,344,-0.040623869,2016,3
37.47884304,37.36363636,47,0.094066465,2016,12
39.67733444,49.16666667,336,-0.039659049,2016,2
53.60971566,58.08333333,27,-0.134536502,2016,9
157.9711314,156.1904762,9,0.146134461,2016,5
29.90273487,28.70833333,68,-0.179888654,2016,2
53.94782,53.20833333,9,0.146134461,2016,4
123.8170887,138.8333333,64,-0.17842712,2016,2
76.04763147,86.54166667,9,0.025770844,2016,1
94.61630955,94.95833333,64,-0.17842712,2016,12
48.22299802,52.26666667,816,-0.051549123,2016,4
159.2710546,150.7083333,33,0.084475926,2016,3
24.36777771,34.125,816,-0.051549123,2016,11
