truevalue,estimate,dem,ev
4.889785922,10.7826087,481,0.044456821
47.82058621,48.29166667,79,-0.178420661
48.47272819,61.83333333,2,0.127586656
101.7281825,84.45833333,13,-0.049332921
9.582213668,7.391304348,481,0.044456821
33.73458261,24.29166667,13,-0.049332921
27.03637109,14.54545455,744,-0.050279932
19.01784961,36.08333333,79,-0.178420661
59.74767462,74.40909091,31,0.072374424
9.834725761,12.875,18,0.136162981
55.28591356,45,79,-0.178420661
25.49373001,23.86956522,13,-0.049332921
156.824733,152.9565217,31,0.072374424
25.76803105,18.23809524,481,0.044456821
40.68453839,43.68421053,13,-0.049332921
27.69216379,27.81818182,744,-0.050279932
40.8472358,59.91304348,2,0.127586656
105.7608855,101.9166667,31,0.072374424
128.2184296,130.875,13,-0.049332921
23.59572475,51.30769231,2,0.127586656
32.54502488,17.59090909,744,-0.050279932
38.21828626,51.20833333,31,0.072374424
95.25992215,129.2272727,79,-0.178420661
33.55428643,25.82608696,2,0.127586656
346.1856082,377.2083333,13,-0.049332921
39.51413595,52.77272727,2,0.127586656
59.97248451,61.68181818,18,0.136162981
45.41150864,30.39130435,2,0.127586656
93.53109264,107.25,31,0.072374424
128.4682257,116,79,-0.178420661
55.79478857,59.16666667,31,0.072374424
49.7642386,38.41666667,744,-0.050279932
39.05258811,59.33333333,31,0.072374424
57.38984351,56.26086957,18,0.136162981
89.82728029,128,2,0.127586656
94.00200897,137.3333333,481,0.044456821
14.69734174,10.7826087,31,0.072374424
245.9472396,240.4166667,79,-0.178420661
81.63036095,75.125,13,-0.049332921
12.58643667,11.29166667,18,0.136162981
11.86635702,11.86363636,744,-0.050279932
118.2512465,120.1666667,79,-0.178420661
71.86594761,64.29166667,18,0.136162981
38.53821221,45.83333333,2,0.127586656
28.07801274,28.45833333,31,0.072374424
10.13082788,7,2,0.127586656
19.42918512,25.45833333,744,-0.050279932
56.88624426,69.9,744,-0.050279932
105.1399882,105.0869565,2,0.127586656
45.97127211,39.39130435,13,-0.049332921
9.427370319,13.625,481,0.044456821
16.60451323,7.708333333,13,-0.049332921
18.10628164,20.52380952,744,-0.050279932
72.58012625,92.41666667,2,0.127586656
46.0638991,44,481,0.044456821
57.37510931,56.82608696,481,0.044456821
42.89735511,46.60869565,79,-0.178420661
171.2154094,203.1304348,13,-0.049332921
17.23541563,17.375,18,0.136162981
25.17901716,23.41666667,79,-0.178420661
46.57392174,55.47619048,744,-0.050279932
165.0424567,159.5652174,79,-0.178420661
7.9770248,2.476190476,31,0.072374424
38.93271039,38,2,0.127586656
63.04928142,77.125,31,0.072374424
25.59958532,8.666666667,744,-0.050279932
86.05394521,85.86363636,7,0.150130969
50.19556864,60.625,31,0.072374424
119.6154874,113.7826087,13,-0.049332921
38.88377201,38.95833333,7,0.150130969
10.51113982,5.625,481,0.044456821
30.24189771,33.58333333,744,-0.050279932
55.13162581,35.17391304,18,0.136162981
80.40804256,101.7916667,481,0.044456821
15.62257206,18.04347826,744,-0.050279932
54.58871323,85.29166667,2,0.127586656
72.30850299,67.08333333,13,-0.049332921
45.02270978,52.79166667,7,0.150130969
14.17288883,16.28571429,18,0.136162981
44.10557814,42.08333333,744,-0.050279932
33.35780081,7.916666667,481,0.044456821
92.88365223,91.44444444,13,-0.049332921
14.1694622,21.45833333,79,-0.178420661
28.56505998,29.9047619,18,0.136162981
19.09634005,17.47619048,481,0.044456821
117.6840903,130.2727273,2,0.127586656
39.9148103,39.45,744,-0.050279932
21.4762738,25.56521739,744,-0.050279932
36.68518076,30.41666667,13,-0.049332921
84.12039224,90.95833333,79,-0.178420661
53.01963206,55.5,7,0.150130969
48.67162229,57.95833333,2,0.127586656
100.217936,127.75,79,-0.178420661
97.03894171,98.95833333,31,0.072374424
101.0920805,96.08695652,79,-0.178420661
66.1912346,69.83333333,18,0.136162981
178.1955746,193.8333333,18,0.136162981
31.21571573,17.83333333,744,-0.050279932
13.66499359,21.33333333,18,0.136162981
79.69174207,92.04545455,7,0.150130969
18.22035987,17.08695652,13,-0.049332921
68.49820616,65.58333333,2,0.127586656
31.08099689,27.27272727,31,0.072374424
87.56577854,108.8421053,31,0.072374424
17.61522098,34,481,0.044456821
5.967336331,6.866666667,7,0.150130969
