truevalue,estimate,dem,ev
44.88718,53.91304348,816,-0.051549123
14.85966842,17.04347826,816,-0.051549123
14.41716096,33.46153846,816,-0.051549123
12.25773695,19.34782609,816,-0.051549123
16.44794044,11.09090909,816,-0.051549123
18.0153752,27.04166667,816,-0.051549123
19.00886149,23.41666667,816,-0.051549123
52.92866383,42.41666667,816,-0.051549123
41.48652579,61.52173913,816,-0.051549123
44.86156327,79,816,-0.051549123
44.32229135,23.92857143,816,-0.051549123
11.00035581,14.58333333,816,-0.051549123
14.90626363,37,816,-0.051549123
8.169366484,29.65217391,816,-0.051549123
33.03070999,47.83333333,816,-0.051549123
15.30972305,21.29166667,816,-0.051549123
19.10863551,21,816,-0.051549123
4.536862305,18.17391304,816,-0.051549123
34.84792275,9.739130435,816,-0.051549123
31.53357918,33.26086957,816,-0.051549123
22.14495041,23.86956522,816,-0.051549123
22.77382473,17.86956522,816,-0.051549123
91.48717262,121.2608696,816,-0.051549123
26.32888108,28.54166667,816,-0.051549123
17.64851313,26,816,-0.051549123
32.64183728,27.68181818,816,-0.051549123
9.699797734,13.16666667,816,-0.051549123
25.8526694,35.41666667,816,-0.051549123
21.59067517,29.79166667,816,-0.051549123
23.07744519,17.04166667,816,-0.051549123
18.37871321,28.95833333,816,-0.051549123
28.52686148,36.73913043,816,-0.051549123
18.73428896,27.31818182,816,-0.051549123
43.68716069,42.7826087,816,-0.051549123
18.98896093,26.41666667,816,-0.051549123
30.28482038,21.90909091,816,-0.051549123
11.45910688,19.52173913,816,-0.051549123
34.33907554,49.58333333,816,-0.051549123
30.78934997,19.66666667,816,-0.051549123
8.484202171,28.56521739,816,-0.051549123
21.4636312,38.125,816,-0.051549123
27.2217223,50.625,816,-0.051549123
15.91625842,15.60869565,816,-0.051549123
43.33562024,50.04166667,816,-0.051549123
36.60833621,80.25,816,-0.051549123
9.588293265,26.94736842,816,-0.051549123
15.74914846,20.125,816,-0.051549123
44.19450565,70.25,816,-0.051549123
15.310306,23.625,816,-0.051549123
28.40783028,8.789473684,816,-0.051549123
6.326294815,14.80952381,816,-0.051549123
10.40594121,22.45833333,816,-0.051549123
51.95001408,27.61538462,816,-0.051549123
17.90645181,25.59090909,816,-0.051549123
47.41101,44.83333333,816,-0.051549123
25.71322311,19.95652174,816,-0.051549123
11.77362571,20.5,816,-0.051549123
21.47118555,34.25,816,-0.051549123
22.61129148,23.45833333,816,-0.051549123
16.33611465,18.13043478,816,-0.051549123
14.70687994,30.47058824,816,-0.051549123
15.29527508,23.09090909,816,-0.051549123
26.38060527,22.125,816,-0.051549123
36.59950115,29.08333333,816,-0.051549123
42.03308822,65.13043478,816,-0.051549123
13.33226388,3.666666667,816,-0.051549123
31.07622391,12.125,816,-0.051549123
19.57862377,28.86363636,816,-0.051549123
20.91528946,22.61111111,816,-0.051549123
35.89121924,51.82608696,816,-0.051549123
24.79735251,35.91666667,816,-0.051549123
12.47258215,12.20833333,816,-0.051549123
87.18852153,111.875,816,-0.051549123
36.4071361,22.13043478,816,-0.051549123
15.10084548,20.0952381,816,-0.051549123
16.09047975,26.58333333,816,-0.051549123
38.25764662,51.875,816,-0.051549123
48.74508797,46.45833333,816,-0.051549123
12.32060305,18.65217391,816,-0.051549123
25.98680898,33,816,-0.051549123
46.55998406,40.08333333,816,-0.051549123
30.50744013,24.58333333,816,-0.051549123
18.66393501,21.79166667,816,-0.051549123
39.96362325,102.5416667,816,-0.051549123
15.20547904,25.95652174,816,-0.051549123
12.49037719,20.73913043,816,-0.051549123
9.558375046,10.9,816,-0.051549123
14.04449788,8.043478261,816,-0.051549123
56.31339087,68.66666667,816,-0.051549123
27.5721197,40.29166667,816,-0.051549123
34.67638636,44.16666667,816,-0.051549123
41.50887232,38.95833333,816,-0.051549123
12.87595754,18.16666667,816,-0.051549123
28.57875251,28.46153846,816,-0.051549123
26.96358737,31.04166667,816,-0.051549123
53.98877707,66.125,816,-0.051549123
12.65236798,22.25,816,-0.051549123
19.81874357,13.66666667,816,-0.051549123
26.12303702,17.125,816,-0.051549123
14.61398094,20.45833333,816,-0.051549123
12.73458872,22,816,-0.051549123
17.08664611,22.22727273,816,-0.051549123
4.960143079,13.7,816,-0.051549123
15.61223739,15.15384615,816,-0.051549123
24.95012075,32.04347826,816,-0.051549123
20.9123242,23.75,816,-0.051549123
20.35332646,23.47619048,816,-0.051549123
27.47520396,21.64705882,816,-0.051549123
11.87356751,16.73913043,816,-0.051549123
33.10124191,68.33333333,816,-0.051549123
19.30046191,23.56521739,816,-0.051549123
13.22121312,15.79166667,816,-0.051549123
14.52593761,24.125,816,-0.051549123
25.64311923,45.04347826,816,-0.051549123
21.16382008,15.34782609,816,-0.051549123
9.656260597,22.30434783,816,-0.051549123
70.2174614,76.75,816,-0.051549123
40.93889046,44.75,816,-0.051549123
24.54937429,13.59090909,816,-0.051549123
14.80137621,20.71428571,816,-0.051549123
23.97596226,14.41176471,816,-0.051549123
36.53126429,42.2,816,-0.051549123
12.42803855,17.33333333,816,-0.051549123
23.87742738,44.79166667,816,-0.051549123
31.59438528,36.04166667,816,-0.051549123
72.75314105,75.85,816,-0.051549123
21.16765246,15.83333333,816,-0.051549123
12.51599628,23.08695652,816,-0.051549123
24.1265608,21.83333333,816,-0.051549123
29.71356521,39.79166667,816,-0.051549123
17.4804551,17.43478261,816,-0.051549123
32.187398,36.43478261,816,-0.051549123
19.44746497,22.1,816,-0.051549123
15.71537301,23.52941176,816,-0.051549123
15.6738068,23.23529412,816,-0.051549123
18.32431057,17.09090909,816,-0.051549123
16.5334567,13.8125,816,-0.051549123
10.5877479,12.04761905,816,-0.051549123
11.23205179,17.6,816,-0.051549123
18.94103665,17.33333333,816,-0.051549123
46.24673402,44.5,816,-0.051549123
39.64999646,50.79166667,816,-0.051549123
24.68832033,18.58333333,816,-0.051549123
22.80921298,23.68421053,816,-0.051549123
18.20255931,15.13043478,816,-0.051549123
19.10731988,27.125,816,-0.051549123
18.47726078,20.65217391,816,-0.051549123
26.24593009,119.75,816,-0.051549123
34.56190839,43.7826087,816,-0.051549123
27.95257435,38.41666667,816,-0.051549123
14.56379246,27.25,816,-0.051549123
17.6018769,23.41666667,816,-0.051549123
23.46430721,42,816,-0.051549123
22.77465595,26.41666667,816,-0.051549123
12.36816179,27.58333333,816,-0.051549123
12.04942978,33.2173913,816,-0.051549123
14.4541996,16.82608696,816,-0.051549123
12.24279085,25.73913043,816,-0.051549123
29.9309504,53.25,816,-0.051549123
21.57412227,25.72727273,816,-0.051549123
27.20632046,23.45833333,816,-0.051549123
