truevalue,estimate,dem,ev
78.36178586,61,82,-0.17724461
63.23505221,30.95454545,82,-0.17724461
118.7584356,118.7727273,82,-0.17724461
34.94536253,32.73913043,82,-0.17724461
17.35610405,15.29166667,82,-0.17724461
72.80315625,77.30434783,82,-0.17724461
19.43494256,12.54166667,82,-0.17724461
75.60638871,34.04166667,82,-0.17724461
65.13539909,68.33333333,82,-0.17724461
125.8060546,118.6666667,82,-0.17724461
118.5304115,121.2083333,82,-0.17724461
98.61943225,91.875,82,-0.17724461
115.3050346,119.6666667,82,-0.17724461
204.0993373,175.0416667,82,-0.17724461
118.4851847,110.125,82,-0.17724461
237.0648658,217.4782609,82,-0.17724461
130.4800514,108.826087,82,-0.17724461
80.85246194,62.25,82,-0.17724461
19.37880587,15.75,82,-0.17724461
65.16342141,36.05,82,-0.17724461
82.62352183,103.4782609,82,-0.17724461
70.08514796,66.58333333,82,-0.17724461
216.6052725,227.6086957,82,-0.17724461
28.90510235,29.25,82,-0.17724461
70.69038463,59.41666667,82,-0.17724461
52.13944655,48.33333333,82,-0.17724461
16.33328481,15.14285714,82,-0.17724461
301.4558433,292.173913,82,-0.17724461
147.8712412,148.25,82,-0.17724461
52.90493089,65.16666667,82,-0.17724461
20.03226817,17.70833333,82,-0.17724461
67.04786841,69.04166667,82,-0.17724461
38.42773742,38.29166667,82,-0.17724461
35.83737878,37.34782609,82,-0.17724461
68.46598523,57.34782609,82,-0.17724461
163.718565,164.4583333,82,-0.17724461
118.2648778,116.9583333,82,-0.17724461
45.115524,48.33333333,82,-0.17724461
19.22462225,10.11111111,82,-0.17724461
27.9754645,10.45454545,82,-0.17724461
97.60172139,88.34782609,82,-0.17724461
72.40672116,61.83333333,82,-0.17724461
25.33246748,26.75,82,-0.17724461
168.4690504,200.9166667,82,-0.17724461
123.0508106,129.3333333,82,-0.17724461
103.0661092,91.04347826,82,-0.17724461
15.72887223,15.66666667,82,-0.17724461
47.91561179,36.38095238,82,-0.17724461
275.4928676,290.4166667,82,-0.17724461
89.49553681,74.41666667,82,-0.17724461
104.2820854,122.375,82,-0.17724461
67.28431423,60.91666667,82,-0.17724461
6.984918899,9.416666667,82,-0.17724461
40.05178163,32.20833333,82,-0.17724461
109.1402491,88.125,82,-0.17724461
168.5704881,193.6666667,82,-0.17724461
36.39863614,44.68181818,82,-0.17724461
55.66207208,72.95238095,82,-0.17724461
40.55856939,45,82,-0.17724461
27.76406864,34.18181818,82,-0.17724461
178.9071484,167.875,82,-0.17724461
105.5754394,91.45833333,82,-0.17724461
43.32947945,38.30434783,82,-0.17724461
111.2596048,114.2916667,82,-0.17724461
56.04171617,24.29166667,82,-0.17724461
32.44661214,13.83333333,82,-0.17724461
192.7119941,221.2083333,82,-0.17724461
46.57982023,40.75,82,-0.17724461
66.89774309,51.75,82,-0.17724461
92.84756617,37.04166667,82,-0.17724461
121.8505562,108.7916667,82,-0.17724461
74.04772949,65.17391304,82,-0.17724461
68.87388896,72.78571429,82,-0.17724461
73.51257916,62.33333333,82,-0.17724461
118.3301876,124.4583333,82,-0.17724461
63.34323373,80.33333333,82,-0.17724461
181.682578,148.0416667,82,-0.17724461
314.0371166,284.25,82,-0.17724461
101.302609,84.91666667,82,-0.17724461
21.94350906,9.708333333,82,-0.17724461
95.02157929,67.69565217,82,-0.17724461
60.26897224,57.54166667,82,-0.17724461
83.4918759,86.60869565,82,-0.17724461
23.62921901,31.83333333,82,-0.17724461
319.3349712,312.2083333,82,-0.17724461
38.18590669,25.375,82,-0.17724461
64.12633187,70.79166667,82,-0.17724461
112.6167605,101.65,82,-0.17724461
58.31264637,83.45454545,82,-0.17724461
200.2303569,215.7083333,82,-0.17724461
23.08261024,19.76470588,82,-0.17724461
115.2032844,102.875,82,-0.17724461
115.6800384,120.5416667,82,-0.17724461
43.92612956,42.08333333,82,-0.17724461
69.24579229,73.73913043,82,-0.17724461
43.45757928,37.04166667,82,-0.17724461
51.44660471,46.08333333,82,-0.17724461
217.0355892,257.875,82,-0.17724461
76.26204354,75.83333333,82,-0.17724461
34.64019204,32,82,-0.17724461
85.78380191,69.43478261,82,-0.17724461
47.8079281,49.83333333,82,-0.17724461
84.97354882,59.09090909,82,-0.17724461
72.51547526,66.16666667,82,-0.17724461
76.40245406,60.70833333,82,-0.17724461
187.6652535,197.3333333,82,-0.17724461
22.26652655,23.79166667,82,-0.17724461
60.33405142,55.69565217,82,-0.17724461
34.42627563,32.08333333,82,-0.17724461
27.49317119,28.26086957,82,-0.17724461
41.60362858,40.79166667,82,-0.17724461
54.42542084,48.25,82,-0.17724461
46.80950876,32.25,82,-0.17724461
49.4957555,47.7826087,82,-0.17724461
34.85224035,18.8,82,-0.17724461
66.46474665,66.91666667,82,-0.17724461
60.13902343,48.75,82,-0.17724461
