truevalue,estimate,dem,ev,year,month
53.3737305,67.34782609,33,0.062590369,2015,8
69.24810619,74.27777778,759,-0.050850333,2015,11
98.74168902,111.6666667,19,-0.053016014,2015,2
61.08772272,67,64,-0.17842712,2015,10
51.53327505,20.75,80,-0.176214204,2015,9
15.92886876,18.58333333,9,-0.049215776,2015,12
34.03692556,33.25,10,0.02320939,2015,1
22.14569979,9.956521739,9,0.146880305,2015,3
20.72329703,20.625,726,-0.049464726,2015,2
209.9170868,211.2916667,23,-0.056201966,2015,6
53.27270028,69.41666667,55,0.089804247,2015,1
22.43141588,17,1,0.149361688,2015,12
72.26203214,58.45454545,20,0.13739371,2015,7
49.89985277,48.70833333,60,-0.147037803,2015,10
62.11145806,41.375,25,-0.130106123,2015,5
120.3332327,84.04166667,59,-0.147033209,2015,2
68.35374747,66.91666667,76,-0.172777826,2015,3
33.85662736,44.33333333,2,0.127586656,2015,7
58.68183246,72.65217391,69,-0.180453342,2015,10
48.59804886,52.83333333,46,0.095873457,2015,5
71.5056146,63.45833333,23,-0.056201966,2015,8
11.97211849,12.95833333,347,-0.037467693,2015,6
92.6215313,100.5652174,41,0.094718102,2015,3
7.085482711,7.217391304,46,0.100533762,2015,1
26.34844273,32.61904762,33,0.084475926,2015,8
57.86458489,57,80,-0.176214204,2015,1
50.67408585,42.66666667,23,-0.056201966,2015,2
34.64094014,41.54166667,68,-0.179888654,2015,9
49.27074923,50.95833333,75,-0.177883862,2015,12
35.14718604,43.27777778,33,0.062590369,2015,3
11.07041876,19.75,726,-0.049464726,2015,3
139.8589725,123.6363636,64,-0.17842712,2015,8
12.56960272,17,47,0.094066465,2015,6
13.20826515,15.13333333,788,-0.050984032,2015,7
15.39425997,12.2173913,318,-0.036487958,2015,4
10.34794037,8.041666667,46,0.100533762,2015,6
56.60211177,57.79166667,27,0.067314271,2015,2
133.4722258,141.5,33,0.062590369,2015,12
21.63965122,38.05263158,7,-0.049017424,2015,10
34.28915049,43,41,0.087615208,2015,10
28.9337282,22.91304348,9,-0.049215776,2015,8
46.03165109,42.91666667,21,0.140187121,2015,2
28.13462023,28.66666667,10,0.122026532,2015,11
88.20548828,86.29411765,6,0.147609073,2015,1
27.59873862,23.875,54,0.057373612,2015,5
96.24397172,84.70833333,33,0.062590369,2015,10
104.561992,86.30434783,19,-0.053016014,2015,1
32.86074694,37.26086957,357,-0.180888769,2015,6
39.37204536,31.91666667,21,0.067032699,2015,7
44.28496082,46.95833333,41,0.087615208,2015,2
28.8860753,20.2173913,64,-0.17842712,2015,4
111.5897815,116.1666667,19,-0.053016014,2015,10
82.90551988,86.29166667,46,0.095873457,2015,4
62.97485548,52.5,344,-0.040623869,2015,5
51.70009159,54.45833333,21,0.067032699,2015,2
13.17009941,14.70833333,23,-0.061979362,2015,4
16.21437043,8.666666667,18,-0.053366587,2015,9
40.90186378,37.29166667,9,0.146134461,2015,5
55.33518187,64.20833333,31,0.072374424,2015,6
23.23116686,15.13043478,26,0.070851475,2015,6
23.0193169,17.4,41,0.087615208,2015,3
82.79690461,76.73913043,7,0.144086546,2015,4
199.200628,304.6,66,-0.176200755,2015,4
18.79386745,14.04347826,318,-0.036487958,2015,1
27.86110892,25.91666667,9,0.146134461,2015,5
22.73754231,19.33333333,481,0.044456821,2015,10
50.04358596,38,23,-0.129274298,2015,6
