truevalue,estimate
63.08282073,60.73913043
29.2238261,17
51.23526416,56.5
94.73899105,93.54166667
95.4592512,90.82608696
35.79537276,64.7826087
72.54079442,68.29166667
9.128720784,17.95652174
23.05832679,30.4
117.6691842,123.3333333
125.0199654,118.4583333
35.23315204,27.75
18.27195089,25.34782609
17.50644103,11.16666667
27.54309395,31.58333333
18.71855215,11.91666667
7.300502986,12.47826087
55.70376193,58.56521739
111.1789947,106.2083333
32.76743711,28.66666667
90.31452251,91.86956522
98.9729362,75.83333333
39.43265568,46.5
73.57926483,99.41666667
55.17073089,73.91304348
22.89156807,11.35294118
93.99170498,106.25
10.64114057,10.5
21.61375688,18.33333333
58.18681233,61.45833333
11.36874504,20.70833333
83.02470109,86.82608696
165.2622939,178
20.38593601,30.19047619
39.64480649,36.75
40.75096746,48.08333333
33.89890774,40.75
23.64167981,21.875
38.53184353,36.625
32.79104242,27.625
30.09994454,31.54166667
78.31340546,57.61538462
20.19128825,20.66666667
39.65247999,46.25
39.16014595,46.70833333
64.54624218,73
79.7020269,71.34782609
24.97295635,27.13043478
29.1790389,33.625
229.0951654,241
53.33118768,45.29166667
36.10193541,37.16666667
21.69162392,11.3125
87.37219523,122.173913
114.0521136,99.2173913
110.8215934,97.08333333
48.70802201,21.83333333
39.97244221,27.375
33.92342808,21.91304348
25.99608365,31.79166667
312.1689094,351.0416667
28.89312415,49.29166667
37.6796678,36.45833333
28.88609062,33.14285714
80.55650751,81.27272727
59.9503589,52.79166667
106.4370284,122.2916667
16.03437552,11.43478261
164.8683708,218
118.2249025,144.7857143
12.35193961,10.28571429
115.269624,109.7083333
91.49193211,84.04166667
51.56946754,64.86956522
163.494926,166.6666667
19.63847991,16.86363636
22.38979762,17.31818182
34.90338837,32.68181818
95.70749387,91.5
75.12460818,54.70833333
26.60003981,19
71.85165429,44.5
48.97698743,64.04545455
49.37976601,51.95652174
47.01622612,57.61904762
52.42765637,33.04166667
67.72666562,58.33333333
17.56997044,20.45833333
204.1723338,230.9583333
66.34963757,69.95833333
28.31928825,26.29166667
51.86888942,20.75
43.58838297,50.73913043
9.129061476,15.68181818
12.76860924,9.136363636
41.90209217,67.15789474
33.46971888,32.95833333
56.85548355,57.125
47.86852865,57.95833333
62.33768728,40.16666667
42.96246685,44.79166667
28.15047363,20.45833333
31.78176901,29.08695652
42.39148442,36
16.33512487,12.16666667
35.23644842,45.79166667
76.43175945,72.75
47.01753217,42.91666667
18.2077921,25
19.51815554,24.79166667
14.1003928,10.91666667
91.34177895,18.83333333
43.17072047,77.91666667
21.4327451,14.6875
50.28102229,61.125
40.80031577,38.70833333
22.04870379,16.875
146.3562456,167.4583333
25.98236078,23
33.68301657,46.75
85.28080783,91.16666667
34.63224161,25.875
31.09376932,31.41666667
62.56605193,58.13043478
43.16491752,38.75
51.2449414,48.29166667
78.21068984,65.86956522
61.92952994,98.95833333
19.81186377,33.41666667
38.26224278,40.875
83.41934764,94.41666667
10.81872564,9.1
10.45737092,17.04166667
26.40251582,24.39130435
61.70565091,51.69565217
23.51584686,27
75.00077035,66.25
38.54134147,53.45833333
250.554836,249.25
14.98748964,7.058823529
10.2456906,8.117647059
35.84510971,24.78947368
162.6132961,165.0416667
52.66314733,55.6875
14.84434193,20.40909091
74.64928109,80.375
19.04665072,18.29166667
37.84649009,54
41.27102193,40.625
17.29858408,16.45833333
32.20505263,36.375
43.66915217,46.2173913
207.8660257,220.1875
62.02592569,76.54166667
17.70101365,20.83333333
